Time Series;Model;Log loss;Acc.;AUC;Returns;SD;SR
EUR/USD;NB;;0.4744;0.471813419;0.045442528;0.006116207;0.019528938
EUR/USD;FNN;0.6953;0.5155;0.5202;0.0218;0.0060;0.0186
EUR/USD;SRNN;0.7114;0.5019;0.5003;0.0406;0.0060;0.0240
EUR/USD;LSTM;0.6948;0.4928;0.5005;-0.0138;0.0060;-0.0073
EUR/USD;GRU;0.6948;0.4944;0.5103;-0.0216;0.0060;-0.0131
GBP/USD;NB;;0.501023256;0.497062599;0.024119876;0.005695128;0.007801194
GBP/USD;FNN;0.6964;0.5068;0.5035;-0.0094;0.0059;-0.0034
GBP/USD;SRNN;0.7064;0.5110;0.5116;0.0166;0.0059;0.0098
GBP/USD;LSTM;0.6943;0.5066;0.5021;-0.0088;0.0059;-0.0041
GBP/USD;GRU;0.6945;0.5064;0.4930;-0.0056;0.0059;-0.0021
USD/JPY;NB;;0.494046512;0.488803844;0.015575939;0.006256366;0.005704589
USD/JPY;FNN;0.7001;0.4966;0.4995;-0.0340;0.0063;-0.0255
USD/JPY;SRNN;0.7100;0.5030;0.4955;-0.0019;0.0063;-0.0081
USD/JPY;LSTM;0.6956;0.5019;0.5077;-0.0157;0.0063;-0.0143
USD/JPY;GRU;0.6945;0.5091;0.5089;0.0075;0.0038;0.0092
USD/CHF;NB;;0.487255814;0.483862043;0.039157264;0.007081186;0.016446827
USD/CHF;FNN;0.6977;0.4999;0.4982;-0.0068;0.0071;-0.0019
USD/CHF;SRNN;0.7016;0.5081;0.5057;0.0356;0.0071;0.0196
USD/CHF;LSTM;0.6936;0.5079;0.5080;0.0056;0.0071;0.0044
USD/CHF;GRU;0.6941;0.5108;0.5109;0.0108;0.0071;0.0057
